;id;operator
1128;1413185616;
1129;1414475090;
1130;1415764702;
1131;1419909556;
1132;1420719145;
1133;1420780413;Agip
1134;1420918679;Frères Jubin
1135;1422954797;
1136;1422954808;Migrol
1137;1422954837;
1138;1423830742;BP
1139;1424445722;
1140;1424941577;
1141;1426129681;Coop Mineraloel
1142;1426549996;Garascha Bass
1143;1427978267;
1144;1428094165;SOCAR Energy Switzerland
1145;1428113830;
1146;1428115688;
1147;1430762218;
1148;1433008313;Avia
1149;1435448154;SOCAR Energy Switzerland
1150;1435634107;
1151;1435664669;
1152;1436158482;Coop Mineraloel
1153;1436591403;
1154;1437292725;
1155;1437292813;
1156;1437637798;
1157;1447082247;
1158;1447469399;
1159;1453005631;
1160;1461962575;
1161;1468247342;
1162;1477153734;
1163;1477153788;
1164;1477740586;
1165;1477747675;Landi Sursee
1166;1478083069;
1167;1479486531;Avia
1168;1485039698;BP
1169;1487761567;Migrol
1170;1488703647;Migrol
1171;1488717329;Avia Osterwalder Zürich
1172;1488738142;Migrol
1173;1492328346;
1174;1492836194;
1175;1492865481;Shell (Switzerland)
1176;1493474970;Migrol
1177;1493475034;
1178;1500284210;
1179;1500284220;
1180;1502042337;
1181;1511296723;
1182;1513964564;
1183;1515923598;Migrol
1184;1519488377;Eni
1185;1525269396;
1186;1528037438;
1187;1531318125;Ruedi Rüssel
1188;1535109278;Tamoil
1189;1565389568;Wuest Garage
1190;1565389577;Landi Sursee
1191;1569833060;Tamoil
1192;1569835418;Shell
1193;1571348229;oil
1194;1571348249;
1195;1575815197;Seegarage Gersau AG
1196;1575826679;
1197;1576589330;
1198;1578335950;Agrola
1199;1580502878;Moveri
1200;1580768457;Oeltrans
1201;1580983584;Bruno Trittibach
1202;1581079919;
1203;1581546464;Avia
1204;1589840892;
1205;1599440400;
1206;1600999173;
1207;1606216660;Agrola
1208;1612813249;Shell Schweiz
1209;1618073109;Maloja Garage
1210;1618108349;Coop Mineraloel
1211;1618141590;Coop Mineraloel
1212;1619031481;
1213;1626641320;
1214;1626642255;
1215;1630419348;
1216;1631244460;Opel Blaser
1217;1631257567;Migrol
1218;1634241007;
1219;1634936911;BP
1220;1635962535;Migrol
1221;1639422734;
1222;1640520321;
1223;1652920891;
1224;1654280142;
1225;1656300744;
1226;1661217443;
1227;1662051350;Shell
1228;1666766811;
1229;1670547822;
1230;1671829688;
1231;1672589193;BP
1232;1672589198;Avia
1233;1673041871;
1234;1673041877;
1235;1673091430;
1236;1673270469;LANDI Säntis AG
1237;1674661390;Coop Mineraloel
1238;1685063933;
1239;1685703885;
1240;1686173227;Landi
1241;1689325383;
1242;1689402740;
1243;1696273321;Migrol
1244;1701490048;BP
1245;1702809007;Agip
1246;1703403835;
1247;1704406678;
1248;1705772304;
1249;1708066596;
1250;1708066637;
1251;1713381442;
1252;1721705361;
1253;1723238711;
1254;1726210994;
1255;1732050905;
1256;1732449803;Migrol
1257;1735141082;Lenzlinger Söhne AG
1258;1735767936;Garage Elmiger AG
1259;1737759646;
1260;1741863727;
1261;1742477103;Migrol
1262;1743453105;
1263;1743982428;
1264;1748438481;
1265;1751724559;
1266;1753928832;
1267;1757030057;
1268;1757030067;
1269;1757030068;
1270;1759660491;Tommy C. Halter GmbH
1271;1760001122;
1272;1768343014;
1273;1769240597;Migrol
1274;1769277686;Coop Mineraloel
1275;1771290405;
1276;1773647684;Schweizer Armee
1277;1775233553;Avia
1278;1781591093;Agrola
1279;1782050608;
1280;1783699678;
1281;1786093958;
1282;1788289746;
1283;1791294272;SOCAR Energy Switzerland
1284;1792415841;
1285;1792505775;
1286;1794416479;Migrol
1287;1798164480;Agrola
1288;1799498562;SOCAR Energy Switzerland
1289;1799498563;
1290;1799498564;
1291;1799498565;
1292;1799563805;
1293;1799563820;
1294;1799563831;
1295;1800052853;
1296;1800185500;
1297;1800185501;
1298;1801451377;LANDI Diemtigtal Genossenschaft
1299;1808635564;
1300;1808929549;
1301;1808929562;
1302;1809757329;Voegtlin-Meyer
1303;1814601989;Migrol
1304;1816824536;Migrol
1305;1816824547;wwz
1306;1816824579;
1307;1817496220;Migrol
1308;1817527603;Migrol
1309;1819439499;Landi
1310;1826340597;
1311;1826381833;Migrol
1312;1826382176;
1313;1827364426;
1314;1828569947;Oeltrans
1315;1828945449;
1316;1829783287;Landi Rottal-Napf
1317;1831920497;Coop
1318;1835275007;
1319;1835275018;
1320;1835326126;
1321;1835614800;
1322;1841751147;
1323;1842989342;
1324;1843138084;
1325;1843378639;Migrol
1326;1845304513;Landi
1327;1845461046;
1328;1854831311;
1329;1855735182;
1330;1856395645;
1331;1856809564;
1332;1856810715;
1333;1861700285;Strüby Automobile AG
1334;1862816967;
1335;1869703878;
1336;1874196802;
1337;1876085656;
1338;1882056112;Avia
1339;1882065880;
1340;1884922207;
1341;1886547907;
1342;1886562579;
1343;1889486988;
1344;1891089861;
1345;1896270896;A.H. Meyer & Cie
1346;1907628745;
1347;1907628749;
1348;1911583677;
1349;1911715216;Coop
1350;1914679918;
1351;1921976248;Eni
